Main component,Sub component,Receiving from / Send to,From / To,Source,Label
Water Treatment,Water Purifier (WP),Receiving from,Water Distribution,Water,External Water Input
Water Treatment,Water Purifier (WP),Send to,Utra-pure Water Tank (WT),Ultra Pure Water,Ultra Pure Water Tank
Water Treatment,Utra-pure Water Tank (WT),Receiving from,Water Purifier (WP),Ultra Pure Water,Ultra Pure Water
Water Treatment,Utra-pure Water Tank (WT),Send to,Pump (P-1),Ultra Pure Water,Ultra Pure Water to PEM
Water Treatment,Utra-pure Water Tank (WT),Send to,Pump (P-3),Ultra Pure Water,Ultra Pure Water to SOEC
Water Treatment,Utra-pure Water Tank (WT),Send to,Steam Gen. (HX-7),Ultra Pure Water,Ultra Pure Water to ATR
PEM Electrolyzer,Pump (P-1),Receiving from,Utra-pure Water Tank (WT),Ultra Pure Water,Ultra Pure Water
PEM Electrolyzer,Pump (P-1),Receiving from,External Grid,Electricity,Electricity
PEM Electrolyzer,Pump (P-1),Send to,Pump (P-2),Ultra Pure Water,Pressurized Ultra Pure Water
PEM Electrolyzer,Pump (P-2),Receiving from,Pump (P-1),Ultra Pure Water,Pressurized Ultra Pure Water
PEM Electrolyzer,Pump (P-2),Receiving from,Separation Tank (ST-1),Ultra Pure Water,Recycled Water (Anode)
PEM Electrolyzer,Pump (P-2),Receiving from,Separation Tank (ST-2),Ultra Pure Water,Recycled Water (Cathode)
PEM Electrolyzer,Pump (P-2),Receiving from,External Grid,Electricity,Electricity
PEM Electrolyzer,Pump (P-2),Send to,Chiller (HX-1),Ultra Pure Water,Pressurized Water
PEM Electrolyzer,Chiller (HX-1),Receiving from,Pump (P-2),Ultra Pure Water,Pressurized Water
PEM Electrolyzer,Chiller (HX-1),Receiving from,External Heat,Heat,Cools Ultrapure Water
PEM Electrolyzer,Chiller (HX-1),Receiving from,External Grid,Electricity,Electricity
PEM Electrolyzer,Chiller (HX-1),Send to,PEM Stacks,Ultra Pure Water,Cold Ultrapure Water
PEM Electrolyzer,Chiller (HX-1),Send to,Heat manager,Heat,Heated Cooling Water
PEM Electrolyzer,Rectifier & Transformer (RT-1),Receiving from,External Grid,Electricity,A/C from Grid
PEM Electrolyzer,Rectifier & Transformer (RT-1),Send to,PEM Stacks,Electricity,D/C to PEM Stacks
PEM Electrolyzer,PEM Stacks,Receiving from,Chiller (HX-1),Ultra Pure Water,Cold Ultrapure Water
