hours,Price,Price,,,,
0,47.455,-0.725,,,,
1,26.465,-0.76,,,,
2,22.075,-2.505,,,,
3,25.025,-2.315,,,,
4,38.535,-2.035,,,,energy price data average of 2023 and 2024 
5,52.515,-1.825,,,,
6,70.31,-0.01,,,,
7,81.22,0,,,,
8,90.02,0.02,,,,
9,72.835,0.525,,,,
10,71.945,0.56,,,,
11,73.31,1.14,,,,
12,72.865,0.985,,,,
13,74.665,0.99,,,,
14,79.265,13.36,,,,
15,102,38.27,,,,
16,135.07,65.245,,,,
17,118.24,80.82,,,,
18,115.585,58.11,,,,
19,106.485,60.985,,,,
20,98.295,53.925,,,,
21,91.28,46.805,,,,
22,79.885,35.275,,,,
23,79.7,69.645,,,,
24,69.8,57.25,,,,
25,73.045,40.13,,,,
26,65.6,30.18,,,,
27,61.565,29.79,,,,
28,63.735,44.145,,,,
29,91.675,74.755,,,,
30,108.24,98.6,,,,
31,116.725,113.36,,,,
32,118.65,123.06,,,,
33,119.585,108.105,,,,
34,124.145,111.075,,,,
35,132.2,122.14,,,,
36,131.705,123.13,,,,
37,136.83,129.4,,,,
38,136.245,130.52,,,,
39,133.635,132.35,,,,
40,144.875,152.305,,,,
41,125.125,128.02,,,,
42,115.545,120,,,,
43,108.16,109.85,,,,
44,92.765,98.285,,,,
45,83.8,94.045,,,,
46,73.69,89.56,,,,
47,39.84,64.81,,,,
48,33.415,59.195,,,,
49,18.265,58.685,,,,
50,-0.655,56.845,,,,
51,-0.695,56.12,,,,
52,2.19,57.16,,,,
53,27.975,69.985,,,,
54,62.975,100.275,,,,
55,109.15,118.735,,,,
56,110.95,123.54,,,,
57,102.195,120.885,,,,
58,99.865,119.345,,,,
59,93.935,112.25,,,,
60,88.97,109.885,,,,
61,88.705,111.96,,,,
62,101.995,121.395,,,,
63,105.125,122.785,,,,
64,125.6,135.91,,,,
65,126.05,141.775,,,,
66,114.745,130.495,,,,
67,97.815,111.425,,,,
68,98.4,99.02,,,,
69,86.98,89.71,,,,
70,82.06,75.3,,,,
71,31.35,68.685,,,,
72,27.045,59.45,,,,
73,22.45,38.96,,,,
74,12.74,12.74,,,,
75,20.935,17.5,,,,
76,37.025,32.03,,,,
77,70.225,63.775,,,,
78,102.46,85.17,,,,
79,135.235,120.735,,,,
80,132.62,120.1,,,,
81,130.54,111.4,,,,
82,122.015,110.28,,,,
83,116.14,107.075,,,,
84,115.53,102.52,,,,
85,121.57,104.33,,,,
86,129.05,113.305,,,,
87,138.59,117.85,,,,
88,176.155,140.205,,,,
89,167.67,139.085,,,,
90,150.54,126.295,,,,
91,132.82,112.025,,,,
92,124.385,113.08,,,,
93,118.84,101,,,,
94,107.805,97.305,,,,
