F_O2_entrada_kmol_h;m_biogas_entrada_kg_h;m_oxigenio_entrada_kg_h;m_agua_vapor_entrada_kg_h;P_entrada_biogas_bar;T_entrada_biogas_C;P_entrada_oxigenio_bar;T_entrada_oxigenio_C;P_entrada_agua_bar;T_entrada_agua_C;T_vapor_necessaria_C;Q_aquecedor_vapor_kW;W_bomba_agua_W;P_mistura_final_bar;T_mistura_final_alvo_C;W_compressao_biogas_total_kW
7,19391;593,538;229,45;706,322;15;48,35967209;15;25;1;25;862,1957658;823,032409;393,1905729;15;500;1,358030289
7,19392;593,538;229,45;706,322;15;48,35968331;15;25;1;25;862,1957601;823,0324064;393,1905729;15;500;1,358036479
7,19393;593,54;229,451;706,324;15;48,35968331;15;25;1;25;862,1960088;823,0348539;393,1916862;15;500;1,358036479
7,19394;593,541;229,451;706,325;15;48,35968331;15;25;1;25;862,1959943;823,0360123;393,1922429;15;500;1,358036479
7,19395;593,541;229,451;706,325;15;48,35969452;15;25;1;25;862,1959886;823,0360096;393,1922429;15;500;1,358042668
7,19396;593,542;229,451;706,327;15;48,35969452;15;25;1;25;862,1954855;823,0381033;393,1933562;15;500;1,358042668
7,19397;593,543;229,452;706,327;15;48,35969452;15;25;1;25;862,1962373;823,0384572;393,1933562;15;500;1,358042668
7,19435;593,574;229,464;706,365;15;48,35982907;15;25;1;25;862,1956312;823,0824508;393,2145098;15;500;1,358116937
7,19528;593,651;229,493;706,456;15;48,36014314;15;25;1;25;862,1955671;823,1884572;393,2651671;15;500;1,358290232
7,19558;593,676;229,503;706,486;15;48,36024413;15;25;1;25;862,1954869;823,2233766;393,2818673;15;500;1,358345934
7,19574;593,689;229,508;706,501;15;48,36030024;15;25;1;25;862,195681;823,2409465;393,2902174;15;500;1,35837688
7,19643;593,746;229,53;706,569;15;48,36053598;15;25;1;25;862,1954688;823,3200827;393,3280712;15;500;1,358506851
7,19664;593,763;229,537;706,589;15;48,36060334;15;25;1;25;862,1956658;823,3434802;393,3392046;15;500;1,358543986
7,19667;593,766;229,538;706,593;15;48,36061457;15;25;1;25;862,1954057;823,3480187;393,3414313;15;500;1,358550175
7,19799;593,875;229,58;706,723;15;48,36106391;15;25;1;25;862,1949984;823,4993076;393,4137989;15;500;1,358797739
7,19821;593,893;229,587;706,744;15;48,36114258;15;25;1;25;862,1951752;823,5238608;393,425489;15;500;1,358841063
7,19841;593,909;229,593;706,764;15;48,36121002;15;25;1;25;862,1946208;823,5469044;393,4366225;15;500;1,358878198
7,19885;593,946;229,607;706,807;15;48,36135616;15;25;1;25;862,1949656;823,5971719;393,4605594;15;500;1,358958657
7,19904;593,962;229,613;706,826;15;48,36142363;15;25;1;25;862,1948995;823,6192803;393,4711362;15;500;1,358995791
7,19936;593,988;229,624;706,857;15;48,36153608;15;25;1;25;862,1950765;823,655486;393,4883931;15;500;1,359057683
7,19957;594,005;229,63;706,877;15;48,36160357;15;25;1;25;862,1949959;823,6787528;393,4995265;15;500;1,359094818
7,1998;594,024;229,638;706,9;15;48,36168231;15;25;1;25;862,1949473;823,7055303;393,51233;15;500;1,359138141
7,20013;594,051;229,648;706,932;15;48,36179482;15;25;1;25;862,1948324;823,7427637;393,5301436;15;500;1,359200033
7,20034;594,069;229,655;706,953;15;48,36186233;15;25;1;25;862,1950148;823,7673196;393,5418337;15;500;1,359237167
7,20073;594,101;229,667;706,991;15;48,36199739;15;25;1;25;862,1948826;823,8115363;393,5629873;15;500;1,359311437
7,20101;594,123;229,676;707,018;15;48,36208744;15;25;1;25;862,194574;823,8428523;393,5780175;15;500;1,35936095
