x;F_H2_func;F_bio_func;F_offgas_func;F_steam_func;F_water_func;Fm_H2_func;Fm_O2_func;Fm_bio_func;Fm_offgas_func;Fm_steam_func;Fm_water_func;H01_Q_func;H02_Q_func;H04_Q_func;H05_Q_func;H08_Q_func;H09_Q_func;Tin_H01_func;Tin_H02_func;Tin_H04_func;Tin_H05_func;Tin_H08_func;Tin_H09_func;Tout_H01_func;Tout_H02_func;Tout_H04_func;Tout_H05_func;Tout_H08_func;Tout_H09_func;W_in_func;xCH4_offgas_func;xCO2_offgas_func;xH2_offgas_func
7,19391;30,1159;21,7975;26,4138;39,2068;26,9637;60,7549;229,45;593,538;948,504;706,322;485,818;115,132;2,58922;191,67;-443,806;-75,0895;-61,6673;182,296;84,87;199,424;160,285;476,022;272,687;546,434;127,444;519,037;50,0001;390;200;81,992813;0,0353863;0,78372;0,15547
7,19392;30,1102;21,7976;26,409;39,2068;28,0253;60,7433;229,45;593,538;948,326;706,322;504,945;115,132;2,58922;191,67;-443,805;-75,0895;-61,6673;182,296;84,8697;199,424;160,285;476,02;272,687;546,434;127,445;519,037;50,0001;390;200;81,985213;0,035386;0,783708;0,155468
7,19393;30,1073;21,7976;26,4066;39,2069;28,6463;60,7375;229,451;593,54;948,239;706,324;516,134;115,132;2,58922;191,67;-443,806;-75,0895;-61,6672;182,295;84,8695;199,424;160,285;476,02;272,687;546,434;127,444;519,037;50,0002;390;200,001;81,981414;0,0353861;0,783713;0,155468
7,19394;30,1068;21,7976;26,4062;39,207;28,7446;60,7365;229,451;593,541;948,223;706,325;517,906;115,132;2,58922;191,67;-443,807;-75,0894;-61,6671;182,295;84,8694;199,424;160,285;476,02;272,687;546,434;127,444;519,037;50,0003;390;200,001;81,980714;0,0353862;0,783713;0,155468
7,19395;30,1067;21,7977;26,406;39,207;28,7781;60,7362;229,451;593,541;948,218;706,325;518,509;115,132;2,58922;191,67;-443,807;-75,0894;-61,6671;182,295;84,8693;199,424;160,285;476,02;272,687;546,434;127,444;519,037;50,0003;390;200,001;81,980514;0,0353862;0,783713;0,155468
7,19396;30,1063;21,7977;26,4057;39,2071;28,8472;60,7354;229,451;593,542;948,206;706,327;519,753;115,132;2,58922;191,67;-443,808;-75,0894;-61,667;182,294;84,8692;199,425;160,285;476,02;272,687;546,432;127,444;519,037;50,0004;390;200,001;81,980015;0,0353863;0,783714;0,155468
7,19397;30,1062;21,7977;26,4057;39,2071;28,8565;60,7352;229,452;593,543;948,204;706,327;519,922;115,132;2,58922;191,67;-443,808;-75,0894;-61,6669;182,294;84,8691;199,425;160,285;476,019;272,687;546,432;127,444;519,037;50,0005;390;200,002;81,979915;0,0353863;0,783714;0,155468
7,19435;30,1074;21,7989;26,4066;39,2092;28,9778;60,7377;229,464;593,574;948,238;706,365;522,107;115,134;2,58996;191,672;-443,831;-75,0788;-61,673;182,297;84,869;199,425;160,285;476,015;272,689;546,421;127,454;519,06;49,9996;390,012;200,002;81,985141;0,0353833;0,783714;0,155468
7,19528;30,1131;21,8017;26,4116;39,2143;28,623;60,7492;229,493;593,651;948,42;706,456;515,714;115,141;2,59261;191,678;-443,885;-75,0842;-61,6677;182,295;84,8693;199,423;160,279;475,996;272,674;546,4;127,492;519,056;50,0003;389,997;200;81,99678;0,0353862;0,783715;0,155469
7,19558;30,1116;21,8026;26,4093;39,2159;29,5423;60,7462;229,503;593,676;948,333;706,486;532,278;115,137;2,59109;191,674;-443,897;-74,9827;-61,7256;182,313;84,8702;199,432;160,295;476,016;272,732;546,387;127,465;519,242;49,9945;390,139;199,995;82,009872;0,0353608;0,783707;0,155475
7,19574;30,1114;21,8031;26,4096;39,2168;28,6077;60,7457;229,508;593,689;948,323;706,501;515,438;115,136;2,5908;191,674;-443,923;-74,9295;-61,7538;182,322;84,8705;199,436;160,302;476,024;272,76;546,384;127,46;519,332;49,9918;390,211;199,99;82,017121;0,0353486;0,783675;0,155472
7,19643;30,1211;21,8052;26,4187;39,2205;27,1723;60,7653;229,53;593,746;948,672;706,569;489,577;115,146;2,59439;191,682;-443,944;-75,0842;-61,6668;182,293;84,8696;199,423;160,274;475,974;272,662;546,36;127,514;519,062;50,001;389,99;200;82,012625;0,0353859;0,783709;0,155468
7,19664;30,1187;21,8058;26,4166;39,2217;28,629;60,7605;229,537;593,763;948,598;706,589;515,823;115,151;2,59617;191,686;-443,963;-75,0771;-61,6677;182,295;84,8693;199,423;160,274;475,971;272,661;546,367;127,542;519,074;50,0003;389,997;200;82,012147;0,0353862;0,783715;0,155469
7,19667;30,1157;21,8059;26,4122;39,2219;29,9997;60,7545;229,538;593,766;948,438;706,593;540,519;115,14;2,5923;191,677;-443,96;-74,9081;-61,7644;182,324;84,8698;199,437;160,301;476,011;272,762;546,356;127,479;519,375;49,9909;390,234;199,989;82,030179;0,0353473;0,783709;0,155479
7,19799;30,1244;21,8099;26,4216;39,2291;28,6357;60,772;229,58;593,875;948,778;706,723;515,943;115,161;2,59973;191,694;-444,043;-75,07;-61,6683;182,295;84,8693;199,423;160,268;475,947;272,648;546,335;127,592;519,096;50,0003;389,997;200;82,027716;0,0353862;0,783715;0,155469
7,19821;30,1202;21,8106;26,4157;39,2302;30,5298;60,7635;229,587;593,893;948,556;706,744;550,07;115,145;2,59402;191,681;-444,008;-74,7971;-61,8198;182,34;84,871;199,445;160,31;476,002;272,805;546,313;127,499;519,559;49,9862;390,371;199,983;82,057023;0,0353306;0,783701;0,155482
7,19841;30,1075;21,8112;26,4049;39,2313;33,105;60,7379;229,593;593,909;948,158;706,764;596,469;115,145;2,59407;191,681;-444,056;-74,7534;-61,8408;182,347;84,8705;199,448;160,315;476,004;272,826;546,309;127,498;519,623;49,9844;390,426;199,981;82,04616;0,0353252;0,783684;0,15548
7,19885;30,1187;21,8125;26,4171;39,2337;28,5587;60,7604;229,607;593,946;948,604;706,807;514,556;115,16;2,5994;191,693;-444,077;-75,0793;-61,6662;182,289;84,8695;199,421;160,264;475,93;272,638;546,29;127,582;519,086;50,002;389,979;199,999;82,021735;0,0353835;0,78369;0,155465
