 ,CAPEX - GERAL,,,,,,,,,CAPEX - ATR,,,,,,,,,,,,,,,,,,,,,,CAPEX - Water Treatment,,,,,,,,,,,,,,,,,,,CAPEX - SOEC,,,,,,,,,,,,,,,,,,,,,CAPEX - PEM,,,,,,,,,,,,,,,,,,,,,CAPEX - STORAGE & COMPRESSION,,,,,,,,,,,,,,,,,,
Finalizado?,Item,,Tipo de Custo,O que engloba?,,,Source,,Finalizado?,Componente,TAG,Método de Estimativa,"A
(Design Capacity)",Design Capacity Unit,Fator Multi,K_1,K_2,K_3,F_m,F_p,F_BM,B_1,B_2,Formula do Custo Base,Observações 1,Observações 2,Valor Base,Valor corrigido inflação (USD conv EUR),Source,,Finalizado?,Componente,TAG,Método de Estimativa,Observaçoes,"A
(Design Capacity)",Design Capacity Unit,K_1,K_2,K_3,F_m,F_p,F_BM,B_1,B_2,Formula do Custo Base,Final Value,Source,,Finalizado?,Componente,TAG,Método de Estimativa,"A
(Design Capacity)",Design Capacity Unit,Fator Multi,K_1,K_2,K_3,F_m,F_p,F_BM,B_1,B_2,Formula do Custo Base,Observações 1,Observações 2,Final Value,Source,,Finalizado?,Componente,TAG,Método de Estimativa,"A
(Design Capacity)",Design Capacity Unit,Fator Multi,K_1,K_2,K_3,F_m,F_p,F_BM,B_1,B_2,Formula do Custo Base,Observações 1,Observações 2,Final Value,Source,,Finalizado?,Componente,TAG,Método de Estimativa,"A
(Design Capacity)",Design Capacity Unit,Fator Multi,K_1,K_2,K_3,F_m,F_p,F_BM,B_1,B_2,Formula do Custo Base,Observações 1,Observações 2,Final Value,Source
FALSE,Electrical PEM ,45-55% ,Direto,https://gemini.google.com/share/3200ecf0ebcb, ,,,,Verdadeiro,ATR Reactor,ATR,Direto Fonte Confiável,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,"€3.118.657,28","Carlini, G.(2025)",,FALSE,purification unit,,,,,,,,,,,,,,,"1,288,210.70",Roger ,,FALSE,Process Heaters - Electric,EBL-1,Método de Turton,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-1,,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,1 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,,,,,Verdadeiro,5 Filling Loading Docks ,FST,Direto Fonte Confiável,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"€1.931.019,12",ROGER
FALSE,Electrical SOEC,45-55%,Direto,,,,,,Verdadeiro,HT-WGS,HT-WGS,Direto Fonte Confiável,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,"€436.612,02","Carlini, G.(2025)",,FALSE,Tanque,,,,,,,,,,,,,,,,,,FALSE,MRV Multistage Compressor Turbo-centrifugo - SOEC Steam,MTC-1,Método de Turton,,450 - 3000 kW,-,"2,2891","1,3604","-0,1027","2,5 (Aço Inoxidável 316 ou Aço Liga. Obrigatório para vapor a 250°C para evitar erosão e oxidação.)",-,"2,15 (Instalação de unidade centrífuga tipo ""package"")",-,-,C_BM=C_0_p * F_BM * F_p,https://gemini.google.com/share/e9b8110fe17e,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Motor para Bombas de Água,PMP-1,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p,https://gemini.google.com/share/0a659cdc0c21,,,,,Verdadeiro,Underground Storage costs,HBT,Direto Fonte Confiável,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"€6.736.268,15",ROGER
FALSE,Instrumentation PEM ,20%,Direto,,,,,,Verdadeiro,LT-WGS,LT-WGS,Direto Fonte Confiável,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,"€436.612,02","Carlini, G.(2025)",,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Attemperator (Venturi),ATT-1,Método de Turton,,"0,05 a 50 m^3/s",-,"3,6298","-0,4991","0,0411","€3,10","€1,00",-,"2,25","1,82",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/ce8e20faa810,-,"€19.778,00",,,FALSE,PEM Electrolizer,PEM,,,,,,,,,,,,,,,,"€4.403.091,58",,,Falso,Multistage H2 Alternating Multistage Compressor,,Método de Turton,,potência de eixo (10 - 10000 W),-,"2,0309","1,2524","-0,0638","2,4 (Aço Liga/Inox)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_p,https://gemini.google.com/share/c133266a59a2,,,
FALSE,Instrumentation SOEC,20%,Direto,,,,ROGER,,Verdadeiro,Inter-reactor Heat Exchanges,"HX-4, HTX-5 e HTX-6",Direto Fonte Confiável,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,"€399.110,85","Carlini, G.(2025)",,FALSE,,,,,,,,,,,,,,,,,,,FALSE,SOEC Electrolyzer,SOEC,Direto Fonte Confiável,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"€24.197.358,17",ROGER,,FALSE,Rectifier and Transfermer,RCT-1,Método de Turton,,C-0-p = 200 USD/kW - IEA Global H2 Review,-,-,-,-,1,1,-,"1,28","0,87",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/3b082de93cbd,,,,,Falso,Multistage H2 Alternating Multistage Compressor,,Método de Turton,,potência de eixo (10 - 10000 W),-,"2,0309","1,2524","-0,0638","2,4 (Aço Liga/Inox)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_p,https://gemini.google.com/share/c133266a59a2,,,
FALSE,Piping PEM,15%,Direto,,,,,,Falso,Multistage Alternating Compressor for Biogas ,MTC-6,Método de Turton,,Potência ( 10 - 10000 kW),-,"2,03","1,25","-0,06","1,5 (Aço Carbono + Recomenda-se usar pelo menos $F_m = 1,5$ em compressores de biogás para componentes internos (válvulas e anéis), mesmo em gás ""limpo"", devido ao risco de arraste de umidade residual.)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_m,https://gemini.google.com/share/b2efb3830256,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Rectifier and Transformer,RCT-2,Turton Adaptado (IEA),,C-0-p = 200 USD/kW - IEA Global H2 Review,-,-,-,-,1,1,-,"1,28","0,87",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/3b082de93cbd,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Knock Out Drum Separator,KOT-1,Método de Turton,, capacidade (volume) em $m^3$,"1,2 (adição para contar odemister de alta eficiência no custo)","€3,50","€0,45","€0,11","3,1",1,-,"2,25","1,82",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)] * F_muilti,https://gemini.google.com/share/ebb68aaa7f0a,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Piping SOEC,15%,Direto,,,,,,Falso,Trocador de Calor (Dry Cooler) - Compressor Biogas - Shell and Tube (fixed tube sheet),DCL-11,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,1 (Aço Liga/Inox)",1,-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/05aa2bddc660,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Process Heaters - Electric,HTX-3,Método de Turton,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Knock Out Drum Separator,KOT-2,Método de Turton,, capacidade (volume) em $m^3$,"1,2 (adição para contar odemister de alta eficiência no custo)","€3,50","€0,45","€0,11","3,1",1,-,"2,25","1,82",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)] * F_muilti,https://gemini.google.com/share/ebb68aaa7f0a,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Piping ATR + CCS,60-70%,Direto,,,,,,Falso,Trocador de Calor (Dry Cooler) - Compressor Biogas - Shell and Tube (fixed tube sheet),DCL-12,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,1 (Aço Liga/Inox)","1,08",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/05aa2bddc660,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - Primeiro na Linha H2 SOEC -  - Shell and Tube (fixed tube sheet),DCL-7,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Trocador de Calor (Dry Cooler) - O2 PEM,DCL-1,,,,,,,,,,,,,,https://gemini.google.com/share/3fda2c38d5ca,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Civil & Foundations ATR + CCS,25%,Direto,,,,,,Falso,Trocador de Calor (Dry Cooler) - pré HTWGS - Shell and Tube (tipo Floating Head - melhor para limpeza),DCL-13,Método de Turton,,10 - 1000 m^2,-,"4,8229","-0,0922","0,1258","2,1 (Aço Liga/Inox)","1,04",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/3ca67a9e91a0,"Falta converter para euro, e atualizar para valor presente",-,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - 1° do 1° Compressor Multiestágio H2 SOEC -  - Shell and Tube (fixed tube sheet),DLC-8,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Trocador de Calor (Dry Cooler) - H2 PEM,DCL-2,,,,,,,,,,,,,,https://gemini.google.com/share/3fda2c38d5ca,,,,,Falso,,,,,,,,,,,,,,,,,,,
