Tag,Name,Block,Component Type,Topology IDs,Design Capacity,Unit,Capacity Source,Capacity Method,C_BM (EUR),C_BM Low,C_BM High,Cost Class,Formula,Within Bounds,Warnings,Errors
MTC-1,Multistage Steam Compressor (SOEC Feed),SOEC,Centrifugal Compressor,"SOEC_Steam_Compressor_1, SOEC_Steam_Compressor_2",486.43,kW,monitoring_history,turton,1722142.83,1205499.98,2238785.68,Class 4,"log10(Cp0) = 2.2891 + 1.3604*log10(486.43) + -0.1027*[log10(486.43)]²; Cp0 = $159,596; C_BM = Cp0 × 2.15 × 2.5 × CEPCI(2.0076)",Yes,,
MTC-4,Multistage H2 Compressor (3 stages - SOEC Train),SOEC,Reciprocating Compressor,"SOEC_H2_Compressor_S1, SOEC_H2_Compressor_S2, SOEC_H2_Compressor_S3",459.99,kW,monitoring_history,turton,742496.98,519747.89,965246.07,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(459.99) + -0.0638*[log10(459.99)]²; Cp0 = $81,916; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
MTC-5,Multistage H2 Compressor (3 stages - SOEC Train),SOEC,Reciprocating Compressor,"SOEC_H2_Compressor_S4, SOEC_H2_Compressor_S5, SOEC_H2_Compressor_S6",399.18,kW,monitoring_history,turton,652003.6,456402.52,847604.68,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(399.18) + -0.0638*[log10(399.18)]²; Cp0 = $71,932; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
HP-COMP,HP Storage Compressor Train (4 stages),Storage,Reciprocating Compressor,"HP_Compressor_S2, HP_Compressor_S3, HP_Compressor_S4, HP_Compressor_S5",876.05,kW,monitoring_history,turton,1321405.71,924984.0,1717827.42,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(876.05) + -0.0638*[log10(876.05)]²; Cp0 = $145,784; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
DCL-7,SOEC H2 Intercoolers (6 units),SOEC,Air-Cooled Heat Exchanger,"SOEC_H2_Intercooler_1, SOEC_H2_Intercooler_2, SOEC_H2_Intercooler_3, SOEC_H2_Intercooler_4, SOEC_H2_Intercooler_5, SOEC_H2_Intercooler_6",1080.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,1061039.03,742727.32,1379350.74,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(1080.00) + 0.1634*[log10(1080.00)]²; Cp0 = $81,119; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
DCL-SOEC-H2,SOEC H2 Dry Cooler (Pre-Compression),SOEC,Air-Cooled Heat Exchanger,SOEC_H2_DryCooler_1,10.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200587.87,140411.51,260764.23,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.00) + 0.1634*[log10(10.00)]²; Cp0 = $15,314; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
DCL-SOEC-STEAM,SOEC Steam Dry Cooler,SOEC,Air-Cooled Heat Exchanger,SOEC_Steam_Drycooler,10.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200587.87,140411.51,260764.23,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.00) + 0.1634*[log10(10.00)]²; Cp0 = $15,314; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
CHL-1,SOEC H2 Chiller,SOEC,Shell and Tube Heat Exchanger,SOEC_H2_Chiller_1,48.31,m²,monitoring_history,turton,150326.53,105228.57,195424.49,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(48.31) + 0.164*[log10(48.31)]²; Cp0 = $10,893; C_BM = Cp0 × (1.63 + 1.66×2.7×1.17) × 1.0 × CEPCI(2.0076)",Yes,,
KOT-3,SOEC H2 Knock-Out Drums (2 stages),SOEC,Vertical Pressure Vessel,"SOEC_H2_KOD_1, SOEC_H2_KOD_2",1.72,m³,"calculated (fallback; volume_m3 not in history or params: volume_m3, V_tank, total_volume_m3, capacity_m3)",turton,59371.95,41560.36,77183.54,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(1.72) + 0.1074*[log10(1.72)]²; Cp0 = $4,059; C_BM = Cp0 × (2.25 + 1.82×2.1×1.0) × 1.2 × CEPCI(2.0076)",Yes,,
PSA-H2,H2 PSA Units,SOEC,PSA Unit,"SOEC_H2_PSA_1, PEM_H2_PSA_1",0.38,m³,component_parameter,turton,80760.35,56532.24,104988.46,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.38) + 0.1074*[log10(0.38)]²; Cp0 = $2,137; C_BM = Cp0 × (2.25 + 1.82×3.1×2.27) × 1.25 × CEPCI(2.0076)",Yes,,
DEOXO-1,Catalytic Deoxo Reactor,SOEC,Vertical Pressure Vessel,SOEC_H2_Deoxo_1,0.11,m³,component_parameter,turton,63718.16,44602.71,82833.61,Class 4,"log10(Cp0) = 3.4974 + 0.449*log10(0.11) + 0.107*[log10(0.11)]²; Cp0 = $1,463; C_BM = Cp0 × (2.25 + 1.82×2.1×2.25) × 2.0 × CEPCI(2.0076)",Yes,,
SOEC_Cluster,SOEC Stack Module (6 modules),SOEC,Electrolyzer SOEC,SOEC_Cluster,14400.0,kW,component_parameter,vendor_quote,24197358.17,19357886.54,29036829.8,Class 3,"Vendor Quote €24,197,358 (direct)",Yes,,
ATT-1,Attemperator (Venturi),SOEC,Spray Water Attemperator,SOEC_Feed_Attemperator,0.05,m³,component_parameter,turton,291269.06,203888.34,378649.78,Class 4,"log10(Cp0) = 3.6298 + -0.4991*log10(0.05) + 0.0411*[log10(0.05)]²; Cp0 = $22,321; C_BM = Cp0 × 6.5 × 1.0 × CEPCI(2.0076)",Yes,,
HTX-3,Electric Process Heaters (SOEC Train),SOEC,Electric Heater,"SOEC_H2_Boiler, SOEC_H2_ElectricBoiler_PSA, SOEC_Steam_Boiler",2362.68,kW,monitoring_history,turton,2827527.67,1979269.37,3675785.97,Class 4,"log10(Cp0) = 2.858 + 0.8209*log10(2362.68) + 0.0075*[log10(2362.68)]²; Cp0 = $515,913; C_BM = Cp0 × 1.3 × 2.1 × CEPCI(2.0076)",Yes,,
CYC-SOEC-VESSEL,SOEC H2 Cyclone Separators (Vessel),SOEC,Vertical Pressure Vessel,"SOEC_H2_Cyclone_1, SOEC_H2_Cyclone_2, SOEC_H2_Cyclone_3, SOEC_H2_Cyclone_4, SOEC_H2_Cyclone_5, SOEC_H2_Cyclone_6",0.09,m³,component_parameter,turton,21729.35,15210.54,28248.16,Class 4,"log10(Cp0) = 3.4974 + 0.449*log10(0.09) + 0.107*[log10(0.09)]²; Cp0 = $1,396; C_BM = Cp0 × (2.25 + 1.82×2.7×1.12) × 1.0 × CEPCI(2.0076)",Yes,,
CYC-SOEC-INTERNALS,SOEC H2 Cyclone Separators (Internals),SOEC,Cyclone Internals,"SOEC_H2_Cyclone_1, SOEC_H2_Cyclone_2, SOEC_H2_Cyclone_3, SOEC_H2_Cyclone_4, SOEC_H2_Cyclone_5, SOEC_H2_Cyclone_6",0.12,m²,component_parameter,turton,4623.51,3236.46,6010.56,Class 4,"log10(Cp0) = 3.349 + 0.467*log10(0.12) + 0.124*[log10(0.12)]²; Cp0 = $1,047; C_BM = Cp0 × 2.2 × 1.0 × CEPCI(2.0076)",Yes,,
PMP-1,SOEC Feed Pump,SOEC,Centrifugal Pump,SOEC_Feed_Pump,2.92,kW,monitoring_history,turton,43455.52987417194,30418.87,56492.19,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(2.92) + 0.1538*[log10(2.92)]²; Cp0 = $2,802; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=3.2kW): €6,328 [<=75kW K1=3.3432]",Yes,,
PMP-DRAIN,SOEC Drain Pumps (3 units),SOEC,Centrifugal Pump,"SOEC_DRAIN_PUMP_1, SOEC_DRAIN_PUMP_2, SOEC_Drain_Pump",5.86,kW,monitoring_history,turton,42347.99545571757,29643.6,55052.39,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(5.86) + 0.1538*[log10(5.86)]²; Cp0 = $3,320; C_BM = Cp0 × (1.89 + 1.35×2.41×1.0) × 1.0 × CEPCI(2.0076) || + Motor(P_elec=6.5kW): €8,065 [<=75kW K1=3.3432]",Yes,,
