Name,Category,Annual Quantity,Unit Price,Annual Cost (USD),Formula,Source,Warnings
Operating Labor (Turton),Fixed,2080.0,25.0,1211010.23,N_shift = (6.29 + 31.7×0² + 0.23×75)^0.5 = 4.85; Total = 4.85 × 4.8 shifts = 23.3 operators × 2080.0h × $25.00/h,config,
Electricity Consumption,Variable,142094496.95,1.0,10171057.96,annualized(sum(quantity_step × price_step)) × 0.001 × 1,simulation:streaming:electricity_consumption_kwh_step*ppa_price_effective_eur_mwh,
Electricity Sale Credit,Variable,40280.99,1.0,-3619270.25,annualized(sum(quantity_step × price_step)) × -1 × 1,simulation:streaming:sold_energy_mwh_step*spot_price,
Process Water (Makeup),Variable,75340216.67,0.002,150680.43,"75,340,216.67 kg × $0.0020/kg",simulation:streaming:water_makeup_kg_step,
Biogas Feed,Variable,9495439.23,0.03,284863.18,"9,495,439.23 kg × $0.0300/kg",simulation:streaming:biogas_feed_kg_step,
Cooling Water (Chiller),Variable,13347706.12,0.0001,1334.77,"13,347,706.12 kWh_th × $0.0001/kWh_th",simulation:streaming:cooling_duty_kwh_th_step,
Supervisory & Technical Staff,Fixed,1.0,0.25,302752.56,"25.0% of Labor ($1,211,010)",config,
Laboratory & QC,Fixed,1.0,0.1,121101.02,"10.0% of Labor ($1,211,010)",config,
Administration & Overhead,Fixed,1.0,0.6,726606.14,"60.0% of Labor ($1,211,010)",config,
Insurance & Local Tax,Fixed,1.0,0.03,3739159.21,"3.0% of FCI ($124,638,640)",config,
General Maintenance (FCI %),Maintenance,1.0,0.07,8724704.83,"7.0% of FCI ($124,638,640)",config,
Catalyst Replacement (ATR),Maintenance,1.0,2000.0,2000.0,"Fixed annual cost: $2,000.00",config,
Stack Replacement Reserve (PEM),Maintenance,1.0,0.015,1869579.61,"1.5% of FCI ($124,638,640)",config,
Stack Replacement Reserve (SOEC),Maintenance,1.0,0.02,2492772.81,"2.0% of FCI ($124,638,640)",config,

SUMMARY,,,,,,,
Variable Costs,,,,6988666.09,,,
Fixed Costs,,,,6100629.16,,,
Maintenance Costs,,,,13089057.25,,,
TOTAL OPEX,,,,26178352.5,,,
TOTAL CREDIT COST,,,,-3619270.25,,,
TOTAL OPEX CASHFLOW,,,,29797622.75,,,
TOTAL OPEX LOW,,,,22117954.98,,,
TOTAL OPEX CASHFLOW LOW,,,,25737225.23,,,
TOTAL OPEX HIGH,,,,30238750.04,,,
TOTAL OPEX CASHFLOW HIGH,,,,33858020.29,,,

METRICS,,,,,,,
Annual H2 Production (kg),,,,3300672.0,,,
OPEX per kg H2,,,,7.9312,,,
